ID,YEAR,YEAR_OF_BIRTH,COUNTRY_OF_BIRTH,SAMPLE_RACE,SAMPLE_SEX,C1DOB_Y,HAVING_HEALTHPLAN,FAMSIZE_,TNFI_,POVSTATUS_,REGION_,MARSTAT_KEY_,WKSUEMP_PCY_,URBAN_RURAL_,JOBSNUM_,NUMCH_,AGE_1STCHILD,EVER_IN_POVERTY,WHEN_IN_POVERTY,INCOME_,INCOME_MAX,EVER_EDU_LOAN,EDU_DEGREE,EVER_DIVORCED_,EVER_UNEMPLOYED_,HOURS_WORKED_PER_WEEK_,MAJOR_1_,MAJOR_2_,EDU_MAJOR,AMT_EDU_LOAN_,TOTAL_EDU_LOAN,CAL_YEAR_JOBS_,NET_WORTH_,EMP_STATUS_,EDU_LOAN_
25,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,2,65100,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,3,0,30,No,NEVER,25000,35000,No,High school diploma (or equivalent),No,No,-4,1205,-4,1205,-4,-4,2,76000,1: EMPLOYED,
26,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1995,Yes,2,22000,0: NOT IN POVERTY,3: SOUTH,1: 1  MARRIED,0,1: URBAN,7,0,32,Yes,ADULT ONLY,0,105000,Yes,Bachelor of Science (BS),No,No,-4,901,-4,901,-4,4000,0,-4200,4: IN ACTIVE FORCES,
27,1990,60,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1988,Yes,3,58214,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,8,1,27,No,NEVER,0,17600,Yes,Bachelor of Arts Degree (BA),No,No,-4,2001,-4,2001,-4,1500,0,841832,3: OUT OF LABOR FORCE,
28,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,1,26057,0: NOT IN POVERTY,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,10,0,No children yet,No,NEVER,26000,26000,-4,High school diploma (or equivalent),Yes,No,-4,-4,-4,506,-4,-4,2,4100,1: EMPLOYED,
29,1990,60,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,3,53500,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,4,0,No children yet,No,NEVER,30000,85000,-4,High school diploma (or equivalent),No,Yes,25,-4,-4,-4,-4,-4,2,136000,1: EMPLOYED,
30,1990,58,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,1982,Yes,4,17006,0: NOT IN POVERTY,3: SOUTH,1: 1  MARRIED,0,-5,4,2,23,Yes,ADULT ONLY,0,63797,No,High school diploma (or equivalent),No,No,-4,4901,-4,4901,-4,-4,0,-1,3: OUT OF LABOR FORCE,
31,1990,63,IN THE US,HISPANIC,MALE,1989,Yes,3,24000,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,1: URBAN,10,1,25,Yes,BOTH CHILD AND ADULT,15000,46000,-4,High school diploma (or equivalent),No,Yes,80,-4,-4,-4,-4,-4,4,2595,1: EMPLOYED,
34,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1988,Yes,3,22000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,14,1: URBAN,15,1,29,No,NEVER,5000,279816,-4,High school diploma (or equivalent),No,No,90,9996,-4,9996,-4,-4,2,11500,1: EMPLOYED,
35,1990,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,3,48150,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,2,1,26,No,NEVER,23000,27000,No,Associate/Junior College (AA),No,No,-4,502,-4,502,-4,-5,2,8500,1: EMPLOYED,
36,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,No,1,-2,-3,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,14,0,No children yet,Yes,ADULT ONLY,-2,115000,-4,High school diploma (or equivalent),Yes,No,-4,-4,-4,-4,-4,-4,2,-1,1: EMPLOYED,
37,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,4,98200,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,3,2,31,No,NEVER,21000,44000,-4,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-4,2,165000,3: OUT OF LABOR FORCE,
38,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,2,50300,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,7,0,No children yet,No,NEVER,22800,97500,-4,High school diploma (or equivalent),No,Yes,18,-4,-4,-4,-4,-4,2,23000,1: EMPLOYED,
39,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1996,Yes,1,49000,0: NOT IN POVERTY,3: SOUTH,0: 0  NEVER MARRIED,0,0: RURAL,13,0,37,No,NEVER,45000,90325,No,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-4,2,80000,1: EMPLOYED,
40,1990,60,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,2003,Yes,2,52750,0: NOT IN POVERTY,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,8,0,43,No,NEVER,750,45000,Yes,Associate/Junior College (AA),Yes,Yes,12,502,-4,502,-4,329,2,55000,1: EMPLOYED,
41,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,2000,Yes,2,43000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,12,0,37,No,NEVER,35000,130000,No,Bachelor of Arts Degree (BA),No,Yes,-4,802,-4,802,-4,-4,2,109850,1: EMPLOYED,
42,1990,63,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",MALE,1992,No,3,146942,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,7,0,28,Yes,ADULT ONLY,30000,51000,Yes,High school diploma (or equivalent),No,No,40,506,-4,506,-4,1200,3,8000,1: EMPLOYED,
43,1990,61,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1982,Yes,3,8064,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,6,1: URBAN,14,2,20,Yes,ADULT ONLY,960,6000,-4,High school diploma (or equivalent),No,Yes,20,-4,-4,502,-4,-4,2,-2599,1: EMPLOYED,
44,1990,61,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1981,Yes,4,48100,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,5,2,19,No,NEVER,0,29120,-4,High school diploma (or equivalent),No,Yes,-4,-4,-4,-4,-4,-4,0,99000,3: OUT OF LABOR FORCE,
45,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1993,Yes,2,80000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,7,0,33,No,NEVER,40000,40000,-4,High school diploma (or equivalent),No,Yes,-4,-4,-4,-4,-4,-5,3,147000,1: EMPLOYED,
46,1990,62,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,1994,Yes,2,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,5,0,31,No,NEVER,32000,48000,Yes,Bachelor of Science (BS),No,No,-4,1203,-4,1223,-4,7500,2,158600,1: EMPLOYED,
47,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,1,40450,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,0: RURAL,7,0,No children yet,No,NEVER,40000,76000,-4,High school diploma (or equivalent),No,Yes,-4,-4,-4,-4,-4,-4,2,28600,1: EMPLOYED,
49,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1982,Yes,4,52518,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,6,2,23,No,NEVER,19200,73000,No,Associate/Junior College (AA),No,No,-4,502,-4,502,-4,-4,2,81500,1: EMPLOYED,
50,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1985,Yes,4,41054,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,5,2,26,Yes,ADULT ONLY,2600,55000,No,High school diploma (or equivalent),No,No,50,703,-4,703,-4,-4,1,7000,1: EMPLOYED,
53,1990,63,IN THE US,HISPANIC,MALE,No children yet,Yes,1,7500,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,1,1: URBAN,19,0,No children yet,Yes,ADULT ONLY,3800,6000,-4,High school diploma (or equivalent),No,Yes,-4,-4,-4,502,-4,-4,1,-1700,3: OUT OF LABOR FORCE,
54,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1980,Yes,4,40000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,5,2,21,No,NEVER,30000,42000,-4,None,No,Yes,-4,-4,-4,-4,-4,-4,2,43000,1: EMPLOYED,
57,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1979,Yes,2,31000,0: NOT IN POVERTY,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,19,1,20,Yes,ADULT ONLY,26000,61000,-4,High school diploma (or equivalent),Yes,Yes,40,502,-4,502,-4,-4,3,700,1: EMPLOYED,
58,1990,57,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1981,Yes,5,62500,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,5,3,24,No,NEVER,23000,97000,No,"Master's Degree (MA, MBA, MS, MSW)",No,No,-4,1105,-4,1105,-4,-4,2,146000,1: EMPLOYED,
59,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,2,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,8,0,No children yet,No,NEVER,28000,45200,-4,High school diploma (or equivalent),Yes,No,-4,-4,-4,-4,-4,-4,2,182514,1: EMPLOYED,
60,1990,61,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1988,Yes,1,60000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,9,0,26,No,NEVER,74283,104000,No,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-5,2,142167,1: EMPLOYED,
61,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1993,Yes,2,38274,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,14,0,30,No,NEVER,21600,65000,No,Associate/Junior College (AA),No,No,46,506,-4,501,-4,-4,3,46500,1: EMPLOYED,
62,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1996,Yes,1,20000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,14,0,31,No,NEVER,20000,51000,-4,Associate/Junior College (AA),No,Yes,35,506,-4,1401,-4,-4,4,13000,1: EMPLOYED,
66,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1992,Yes,2,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,14,0,28,,,-1,25000,Yes,High school diploma (or equivalent),No,No,40,601,-4,601,-4,-4,2,-1,1: EMPLOYED,
67,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1994,Yes,1,146942,0: NOT IN POVERTY,4: WEST,0: 0  NEVER MARRIED,13,1: URBAN,8,0,36,No,NEVER,74283,343830,Yes,"Master's Degree (MA, MBA, MS, MSW)",No,No,-4,906,-4,906,-4,13000,1,235343,1: EMPLOYED,
68,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1993,Yes,1,50400,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,11,0,30,No,NEVER,50000,62836,Yes,Bachelor of Arts Degree (BA),No,No,50,2204,-4,2204,-4,10000,3,841832,1: EMPLOYED,
70,1990,61,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,2001,Yes,1,31200,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,19,0,39,No,NEVER,31000,50000,No,Other (SPECIFY),No,Yes,6,910,-4,910,-4,18000,3,32200,1: EMPLOYED,
71,1990,63,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1997,Yes,2,-2,-3,4: WEST,1: 1  MARRIED,-3,1: URBAN,14,0,33,,,-2,147970,No,"Professional Degree (MD, LLD, DDS)",No,Yes,-4,2204,-4,2204,-4,13000,2,-1,1: EMPLOYED,
72,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,1,28600,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,11,0,No children yet,Yes,ADULT ONLY,28500,45000,No,Bachelor of Science (BS),No,No,-4,500,-4,500,-4,-4,2,18000,1: EMPLOYED,
74,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,1,-1,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,21,0,No children yet,No,NEVER,-1,15000,Yes,Bachelor of Arts Degree (BA),No,No,-4,1003,-4,1401,4000,6000,2,0,1: EMPLOYED,
75,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1994,Yes,1,26000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,16,0,32,Yes,ADULT ONLY,26000,115000,Yes,Bachelor of Arts Degree (BA),No,Yes,-4,517,-4,517,-4,12000,2,-500,1: EMPLOYED,
76,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1997,Yes,1,46000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,10,0,33,Yes,ADULT ONLY,46000,70000,Yes,Associate/Junior College (AA),No,No,-4,4901,-4,4901,-4,7000,2,-400,1: EMPLOYED,
77,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,3,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,7,0,No children yet,No,NEVER,29000,110000,No,"Professional Degree (MD, LLD, DDS)",No,Yes,-4,833,-4,833,-4,-4,2,178600,1: EMPLOYED,
78,1990,57,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1989,Yes,3,41800,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,14,0: RURAL,6,1,31,No,NEVER,1400,26000,Yes,Bachelor of Science (BS),No,No,-4,1203,-4,1203,-4,6000,2,-1,1: EMPLOYED,
79,1990,60,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1990,Yes,3,91889,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,1,29,No,NEVER,74283,265933,Yes,"Master's Degree (MA, MBA, MS, MSW)",No,No,-4,2204,-4,2204,-4,18250,2,169600,1: EMPLOYED,
80,1990,63,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,No,2,7500,1: IN POVERTY,4: WEST,0: 0  NEVER MARRIED,-3,1: URBAN,10,0,No children yet,Yes,ADULT ONLY,7000,32000,No,Bachelor of Science (BS),No,Yes,35,601,-4,800,-4,-4,4,17166,1: EMPLOYED,
81,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,1,13000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,15,0,No children yet,Yes,BOTH CHILD AND ADULT,3000,40000,No,Bachelor of Arts Degree (BA),No,Yes,21,1010,-4,1099,8000,27000,5,250,1: EMPLOYED,
82,1990,58,IN OTHER COUNTRY,BLACK,MALE,1979,Yes,1,0,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,6,0,20,Yes,ADULT ONLY,0,3300,No,High school diploma (or equivalent),No,Yes,-4,-4,-4,-4,-4,-5,0,-2400,3: OUT OF LABOR FORCE,
83,1990,60,IN THE US,BLACK,MALE,No children yet,Yes,6,6000,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,10,0,No children yet,,,0,6997,-4,None,No,Yes,-4,-4,-4,-4,-4,-4,0,0,2: UNEMPLOYED,
84,1990,63,IN THE US,BLACK,MALE,1982,Yes,1,0,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,6,0,18,Yes,ADULT ONLY,0,12000,-4,High school diploma (or equivalent),No,Yes,-4,-4,-4,-4,-4,-4,0,0,3: OUT OF LABOR FORCE,
85,1990,59,IN THE US,BLACK,MALE,1979,No,5,1050,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,-3,1: URBAN,9,0,19,Yes,ADULT ONLY,1050,2600,-4,None,No,Yes,-4,-4,-4,-4,-4,-4,1,-667,3: OUT OF LABOR FORCE,
86,1990,60,IN THE US,BLACK,FEMALE,1977,Yes,2,6252,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,2,1,16,Yes,ADULT ONLY,0,22000,-4,None,No,Yes,-4,-4,-4,-4,-4,-4,0,1000,2: UNEMPLOYED,
87,1990,63,IN THE US,BLACK,MALE,1983,No,3,18000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,30,1: URBAN,8,2,19,Yes,ADULT ONLY,18000,28000,No,High school diploma (or equivalent),No,Yes,40,-4,-4,-4,-4,-4,2,5600,1: EMPLOYED,
88,1990,57,IN THE US,BLACK,MALE,1982,Yes,1,31000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,9,0,24,No,NEVER,22000,34000,No,Bachelor of Science (BS),No,Yes,-4,2001,-4,2001,-4,-4,2,81045,1: EMPLOYED,
89,1990,59,IN OTHER COUNTRY,BLACK,FEMALE,1986,Yes,2,31000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,8,1,27,Yes,ADULT ONLY,31000,62000,Yes,Bachelor of Arts Degree (BA),No,No,-4,2206,-4,2206,-4,8000,2,-900,1: EMPLOYED,
90,1990,58,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",MALE,1993,Yes,2,75200,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,7,0,34,No,NEVER,42000,128000,Yes,Bachelor of Science (BS),No,Yes,-4,599,-4,599,-4,-4,2,93500,1: EMPLOYED,
91,1990,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1994,Yes,2,49000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,7,0,30,No,NEVER,19000,58000,No,Bachelor of Science (BS),No,Yes,38,702,-4,2000,-4,-4,2,64000,1: EMPLOYED,
92,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1982,Yes,3,31500,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,5,1,19,Yes,ADULT ONLY,2500,36000,-4,High school diploma (or equivalent),No,Yes,-4,-4,-4,-4,-4,-4,2,20000,1: EMPLOYED,
93,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1991,Yes,2,34000,0: NOT IN POVERTY,2: NORTH CENTRAL,1: 1  MARRIED,0,1: URBAN,8,0,26,No,NEVER,19000,96000,-4,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-4,3,2260,1: EMPLOYED,
94,1990,57,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,2,34025,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,6,0,No children yet,No,NEVER,24000,44000,-4,None,No,No,-4,-4,-4,-4,-4,-4,2,1000,1: EMPLOYED,
95,1990,60,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1985,Yes,5,-2,-3,1: NORTHEAST,1: 1  MARRIED,-3,1: URBAN,6,3,24,No,NEVER,200,50000,No,High school diploma (or equivalent),No,No,-4,2000,-4,2000,-4,-4,1,181667,1: EMPLOYED,
